Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Flamengo,85.2,30.3,65.1,0.466,10.4,29.7,0.351,14.1,18.6,0.757,11.9,27.0,38.8,19.2,7.7,1.9,12.3,0.581,0.546,33.5,71.3,53.0,63.4,14.3,10.7,5.4,117.5,107.1,10.4,72.2,1.6,34,0.723
Franca,85.1,29.9,61.7,0.485,9.9,27.0,0.368,15.3,19.1,0.8,8.7,26.6,35.3,17.4,7.2,2.5,11.7,0.607,0.565,26.4,73.0,50.9,58.2,14.3,10.1,7.0,118.0,106.1,11.9,71.9,1.5,37,0.725
Corinthians,82.3,29.4,65.8,0.447,10.5,30.5,0.343,13.0,17.4,0.75,11.2,27.5,38.7,19.3,5.6,1.8,12.6,0.56,0.526,30.0,71.3,51.0,65.7,14.6,7.7,4.6,112.0,109.5,2.5,73.1,1.5,21,0.512
Pato Basquete,81.3,29.3,65.1,0.45,11.3,30.7,0.367,11.5,15.4,0.75,10.8,25.3,36.1,16.9,6.1,1.5,12.9,0.566,0.536,29.6,70.1,49.7,57.9,15.2,8.4,4.3,111.4,115.4,-3.9,72.9,1.3,13,0.351
Minas,81.1,29.7,65.4,0.453,9.1,26.6,0.341,12.8,18.4,0.694,12.5,28.6,41.2,17.4,7.0,2.9,12.9,0.552,0.523,33.9,73.4,54.2,58.8,14.9,9.8,8.5,111.6,98.0,13.5,72.8,1.3,39,0.83
Uniceub-BRB-Brasilia,79.9,26.7,63.7,0.419,11.3,33.1,0.343,15.1,19.4,0.78,10.4,25.4,35.9,15.8,6.2,1.9,11.2,0.553,0.508,27.1,70.4,48.1,59.3,13.4,8.6,5.3,111.0,110.6,0.4,71.7,1.4,20,0.526
Uniao Corinthians,78.7,28.3,65.5,0.432,7.4,24.5,0.302,14.8,20.9,0.707,12.6,25.6,38.2,18.4,7.2,1.8,13.7,0.527,0.489,33.0,73.2,52.2,65.2,15.5,9.8,5.2,105.5,108.4,-2.9,74.2,1.3,19,0.5
Sao Jose Unimed Vinac,78.4,27.1,64.7,0.418,8.8,28.6,0.309,15.5,20.7,0.747,11.9,27.4,39.3,17.3,7.5,2.2,13.5,0.531,0.486,31.0,72.1,51.4,64.1,15.4,10.2,6.4,105.9,106.5,-0.6,73.7,1.3,18,0.474
Bauru,78.4,28.1,64.9,0.433,8.8,28.4,0.31,13.4,19.0,0.707,11.7,26.3,38.1,17.6,7.5,2.2,13.9,0.535,0.501,30.7,69.2,49.9,62.5,15.9,10.2,6.3,105.5,103.9,1.6,73.9,1.3,25,0.556
Vasco da Gama,77.2,26.1,60.7,0.43,9.2,29.2,0.315,15.7,21.8,0.722,10.3,26.9,37.2,18.6,6.2,2.3,13.5,0.549,0.506,27.5,67.9,48.3,71.2,16.1,8.6,6.3,105.8,106.0,-0.2,72.6,1.4,21,0.512
Paulistano,76.8,27.1,62.2,0.436,8.3,24.3,0.34,14.4,19.1,0.752,12.2,24.4,36.6,16.7,7.5,2.3,14.4,0.544,0.502,33.3,71.2,51.7,61.7,16.9,10.6,6.3,107.1,106.5,0.6,71.0,1.2,17,0.436
Sao Paulo FC,76.3,26.5,59.5,0.445,7.9,25.6,0.308,15.4,21.1,0.729,9.2,26.4,35.7,17.4,6.3,1.5,14.2,0.554,0.511,26.4,68.3,48.4,65.6,17.2,8.6,4.2,104.4,108.8,-4.4,72.7,1.2,16,0.39
Pinheiros Sky,75.7,26.8,63.7,0.42,8.5,27.0,0.314,13.7,19.3,0.71,13.4,26.7,40.1,15.0,6.1,1.6,13.3,0.524,0.486,35.5,73.2,54.1,55.9,15.5,8.7,4.7,106.9,105.7,1.2,70.7,1.1,24,0.545
Unifacisa Paraiba,74.7,26.9,63.7,0.422,9.9,28.9,0.341,11.1,16.1,0.692,11.1,25.6,36.6,15.0,7.3,2.2,12.6,0.528,0.499,29.0,69.6,49.0,55.7,15.1,10.3,6.4,104.8,105.7,-0.9,70.9,1.2,18,0.462
Mogi das Cruzes,73.7,25.9,61.9,0.418,8.8,26.7,0.331,13.1,18.7,0.697,10.0,23.5,33.5,16.2,8.0,1.7,13.4,0.525,0.489,26.9,67.0,46.4,62.4,16.0,11.1,4.8,101.6,112.2,-10.6,71.8,1.2,11,0.297
Caxias Do Sul Basquetetriches,73.6,26.1,61.8,0.422,7.8,25.7,0.302,13.7,19.0,0.719,11.0,23.4,34.4,15.1,6.5,1.6,13.5,0.525,0.485,29.5,67.5,47.8,58.0,16.2,9.1,4.4,102.5,113.5,-11.0,70.5,1.1,12,0.316
Botafogo F.R.,72.8,26.8,63.8,0.419,7.3,23.5,0.311,11.9,18.6,0.642,10.7,26.1,36.9,16.2,7.9,2.2,14.6,0.505,0.476,27.8,71.0,48.9,60.7,16.8,10.6,6.1,97.3,109.6,-12.4,74.3,1.1,9,0.273
Basquete Cearense,72.1,26.0,61.7,0.422,7.9,25.3,0.31,12.3,17.8,0.69,11.0,26.0,37.0,15.1,7.1,1.8,13.8,0.519,0.485,29.6,70.5,49.9,58.0,16.5,9.9,5.2,100.6,108.8,-8.2,71.9,1.1,10,0.294
